Verb,FrameNo,SubFrameNo,Sem,ConstrIndex,Constr,ConstrName,Example,ConstrPattern,Synopsis,Features,FrameNetFrame,MatchEvaluation,Suggestion,Other links
обязать,3,1,,5492,обязать 3.1,3.1_Вы меня очень обязали.,Вы меня очень обязали.,Snom V Sacc,3,НВ обязывать,,,,
оглядываться,1,1,восприятие,5499,оглядываться 1.1,"1.1_Мы шли по праздничному городу, оглядывались.","Мы шли по праздничному городу, оглядывались. Женщина долго пугливо оглядывалась, словно не понимая, где она находится.",Snom V,1,СВ оглядеться,,,,
оглядываться,2,1,восприятие,5501,оглядываться 2.1,"2.1_Она обиделась и ушла, не оглянувшись.","Она обиделась и ушла, не оглянувшись. Я оглянулся: за мной стоял бродяга.",Snom V,2,СВ оглянуться,,,,
оглядываться,3,1,восприятие,5503,оглядываться 3.1,"3.1_Он не может действовать свободно, он вынужден все время оглядываться на начальство.","Он не может действовать свободно, он вынужден все время оглядываться на начальство.",Snom V на + Sacc,3,СВ нет,,,,
ограничить,2,1,,5516,ограничить 2.1,2.1_Деревянная ограда ограничивает площадь.,Деревянная ограда ограничивает площадь.,Snom V Sacc,2. <редк.>,НВ ограничивать,,,,
одержать,1,1,,5519,одержать 1.1,1.1_Народ одержал блестящую победу.,Народ одержал блестящую победу.,Snom V Sacc,,НВ одерживать,,,,
одеться,1,1,,5528,одеться 1.1,1.1_Мама уже одевается.,"Мама уже одевается. Когда ты, наконец, оденешься?!",Snom V,1,НВ одеваться,,,,
одеться,2,1,,5531,одеться 2.1,2.1_Она хорошо одевается.,"Она хорошо [плохо, безвкусно] одевается. Ева одевалась со вкусом. Он одевается по последней моде.",Snom V {ADV / PR + Sx},2. <только НВ>,НВ одеваться; СВ нет,,,,
ожидать,5,1,,5557,ожидать 5.1,5.1_Блестящая карьера ожидает его.,Блестящая карьера [будущность] ожидает его. Нас ожидал длинный и очень трудный путь. Вас ожидает столько радостей! Девушку ожидала судьба наложницы.,Snom V Sacc,5,СВ нет,,,,
окружить,2,1,,5575,окружить 2.1,2.1_Дети плотным / тесным кольцом окружили рассказчика.,Дети плотным / тесным кольцом окружили рассказчика. Меня окружают верные друзья. Больные окружили врача.,Snom V Sacc,2,НВ окружать,,,,
окружить,4,1,,5578,окружить 4.1,4.1_Новый директор окружил себя дельными помощниками.,Новый директор окружил себя дельными помощниками [надежными людьми]. Почему вы окружаете себя подхалимами?!,Snom V Sacc Sins,4,НВ окружать,,,,
окружить,5,1,,5579,окружить 5.1,5.1_Родители окружали больного ребенка любовной заботой.,Родители окружали больного ребенка любовной заботой. Хозяева окружили гостей вниманием. Он был окружен любовью и почетом.,Snom V Sacc Sins,5,НВ окружать,,,,
окружить,6,1,,5580,окружить 6.1,6.1_Горы окружали долину.,Горы окружали долину. Тополя окружают старинный парк. Непроходимые леса окружали хутор.,Snom V Sacc,6. <преим. НВ>,НВ окружать; преим. НВ,,,,
окружить,8,1,,12524,окружить 8.1,"8.1_В глазах её, голубовато-водянистых , окружённых белыми ресницами.",Голубовато-водянистые глаза окружены белыми ресницами.,Snom Vpass Sins,8,НВ нет; пасс.,,,,
опасаться,1,1,ментальный,5585,опасаться 1.1,1.1_Старушка опасается сквозняков.,Старушка опасается сквозняков [жирной пищи]. Он опасался злых языков [этой сплетницы].,Snom V Sgen,1,СВ нет,,,,
опираться,1,1,,5590,опираться 1.1,"1.1_Он медленно шел по дорожке, опираясь на плечо сына.","Он медленно шел по дорожке, опираясь на плечо сына. Старик опирался на палку.",Snom V на + Sacc,1,СВ опереться,,,,
опираться,2,1,,5593,опираться 2.1,2.1_Правительство хунты опиралось на армию.,"Правительство хунты опиралось на армию. Мы опираемся на массы трудящихся. Вам надо [можно] опереться на молодежь. Не на кого было опереться, неоткуда ждать помощи.",Snom V на + Sacc,2,"СВ опереться <только после слов типа надо, должен, можно, ...>",,,,
описать,1,1,,5595,описать 1.1,1.1_Он мастерски описал свой родной город.,Он мастерски описал свой родной город [внешность этого человека]. Журналист описывает события последних дней [жизнь полярников]. Географ описал только открытый остров. Ученые описали флору и фауну этого края. Диалектологи описали говор деревни Деу-лино.,Snom V Sacc,1,НВ описывать,,,,
описать,2,1,,5597,описать 2.1,2.1_Имущество промотавшегося помещика описали.,Имущество промотавшегося помещика описали.,Snom V Sacc,2,НВ описывать,,,,
описать,3,1,,5599,описать 3.1,3.1_Уголек описал круг и упал в воду.,Уголек описал круг и упал в воду. Самолеты описывают спирали. Пароход описал полукруг и пристал к берегу. Машина описала крутую дугу и опрокинулась.,Snom V Sacc,3,НВ описывать,,,,
описать,4,1,,5600,описать 4.1,"4.1_Значит, окружность описана.","Если окружность проходит через все вершины треугольника, значит, она описана.",Vpass Snom,4. &lt;спец.&gt;,,,,,
опоздать,1,1,,5602,опоздать 1.1,1.1_Вы опоздали: мы уже пообедали.,Вы опоздали: мы уже пообедали. Поезд опаздывает. Гости что-то опаздывают.,Snom V,1,НВ опаздывать,,,,
опоздать,2,1,,5607,опоздать 2.1,2.1_Конструкторы сильно опаздывали с работой.,Конструкторы сильно опаздывали с работой. Аспиранты почти всегда опаздывают с диссертацией [с отчетом]. Вы опоздали со своим предложением.,Snom V с + Sins,2,НВ опаздывать,,,,
определить,2,1,ментальный,5633,определить 2.1,2.1_Автор неудачно определил искусство.,Автор неудачно определил искусство. Он определил несколько новых понятий.,Snom V Sacc,2,НВ определять,,,,
организовать,1,1,начало существования,5671,организовать 1.1,1.1_Правительство организовало новое министерство.,"Правительство организовало новое министерство [общество, союз молодежи]. При университете организованы курсы по повышению квалификации.",Snom V Sacc,1,"НВ организовывать, организовать",Intentionally_create,ExactMatch,,
организовать,2,1,начало существования,5673,организовать 2.1,2.1_Партия сплотила и организовала рабочих.,"Партия сплотила и организовала рабочих [крестьян, интеллигенцию].",Snom V Sacc,2,"НВ организовывать, организовать",Collaboration,ExactMatch,,
организовать,3,1,начало существования,5675,организовать 3.1,3.1_Генеральный штаб организовал оборону города.,Генеральный штаб организовал оборону города. Завод организует производство сложнейшей аппаратуры. Магазин организовывает доставку продуктов на дом. Правительство организовало помощь пострадавшим от наводнения. Нужно организовать концерт самодеятельности [художественную выставку]. Завком организовал стачку. Кто организовал этот дерзкий побег [эту экспедицию]?,Snom V Sacc,3,"НВ организовывать, организовать",Making_arrangements,ExactMatch,,
организовать,4,1,начало существования,5676,организовать 4.1,4.1_Как ты собираешься организовать свой быт?,Как ты собираешься организовать свой быт [свой рабочий день]? Он совершенно не умеет организовать свой отдых.,Snom V Sacc,4,"НВ организовывать, организовать",Arranging,ExactMatch,,"VerbNet: organize-v.3 'arrange in a coherent, systematic, or patterned order'"
освободить,1,1,,5691,освободить 1.1,1.1_Партизаны освободили заключенных.,"Партизаны освободили заключенных [пленных, арестованных]. Власти отказались освободить заложников.",Snom V Sacc,1,НВ освобождать,Releasing_from_custody,ExactMatch,,
освободить,2,1,,5694,освободить 2.1,2.1_Революционная армия Севера освободила американских рабов.,"Революционная армия Севера освободила американских рабов. Наиболее радикальные члены тайных декабристских обществ требовали, чтобы крестьяне были освобождены с землей.",Snom V Sacc,2,НВ освобождать,,,,
освободить,4,1,,5698,освободить 4.1,4.1_Охотник освободил ноги зверя от пут.,Охотник освободил ноги зверя [крыло птицы] от пут. Через неделю врач освободил руку больного от повязки.,Snom V Sacc от + Sgen,4,НВ освобождать,Freeing_from_confinement,ExactMatch,,
освободить,5,1,,5700,освободить 5.1,5.1_Ее освободили от должности.,"Ее освободили от должности [от этих обязанностей, от участия в соревнованиях]. Петра освобождают на время экзаменов от дежурства [от другой работы]. Студента на год освободили от занятий по болезни. Меня освободили от уплаты штрафа.",Snom V Sacc от + Sgen,5,НВ освобождать,Firing,ExactMatch,,
освободить,6,1,,5701,освободить 6.1,6.1_Эту полку надо освободить.,"Эту полку [шкаф] надо освободить. Прошу освободить помещение [зал, аудиторию].",Snom V Sacc,6,НВ освобождать,Removing,TooGeneral,,
освободить,9,1,,18430,освободить 9.1,9.1_Он освобожден от жалости.,Он освобожден от жалости.,Vpass Snom от + Sgen,9. свойство,НВ нет,,,,
оскорбить,1,1,,5720,оскорбить 1.1,1.1_Ты оскорбил девушку.,"Ты оскорбил девушку. Как он мог оскорбить мать?! Вы оскорбляете гордость [честь, достоинство, самолюбие] своей жены.",Snom V Sacc,1,НВ оскорблять,Cause_emotion,ExactMatch,,
оскорбить,2,1,,5722,оскорбить 2.1,2.1_Пошлость оскорбляет нас.,Пошлость оскорбляет нас. Жалость может оскорбить человека.,Snom V Sacc,2,НВ оскорблять,Experiencer_obj,TooGeneral,,
оскорбить,3,1,,13261,оскробить 3.1,3.1_Он был оскорблён в лучших чувствах.,Он был оскорблён в лучших чувствах.,Snom Vpass в + лучших + чувствах,,,Cause_emotion,ExactMatch,,
основать,3,1,начало существования,12525,основать 3.1,3.1_Наша деятельность основана на философии Hitachi Company.,"Наша деятельность основана на философии Hitachi Company, мы ставим на первое место дух независимости и профессионального умения .",Snom V на + Sloc,3,НВ основывать,Building,WeakMatch,Base_on,
остановить,1,1,,5773,остановить 1.1,1.1_Вагоновожатый остановил трамвай.,"Вагоновожатый остановил трамвай. Трое мужчин остановили машину [такси, колонну солдат, лошадь]. Хулиганы останавливали и задирали прохожих.",Snom V Sacc,1,НВ останавливать,Halt,TooGeneral,Stop_the_object,
остановить,2,1,,5774,остановить 2.1,2.1_Рабочий остановил станок.,Рабочий остановил станок. Гроссмейстер остановил часы и поздравил своего противника с победой. Было принято решение остановить завод.,Snom V Sacc,2,НВ останавливать,Process_stop,ExactMatch,,
остановить,3,1,,5775,остановить 3.1,3.1_Врачам с большим трудом удалось остановить кровотечение.,"Врачам с большим трудом удалось остановить кровотечение. Наша армия остановила наступление немцев под Москвой. Ремонт можно будет произвести, не останавливая работы. Милиция остановила движение транспорта по кольцу.",Snom V Sacc,3,НВ останавливать,Activity_stop,ExactMatch,,
остановить,5,1,,5776,остановить 5.1,5.1_Он безуспешно пытался остановить дуэлянтов.,Агрессора необходимо остановить. Он безуспешно пытался остановить дуэлянтов.,Snom V Sacc,5. &lt;часто отриц или вопр&gt;,НВ останавливать,,,,
остановить,6,1,,5777,остановить 6.1,6.1_Он остановил свой взор на девушке.,Он остановил свой взор [взгляд] на девушке.,Snom V Sacc на + Sloc,6,НВ останавливать,Process_stop,ExactMatch,,
остаться,1,1,местонахождение,5792,остаться 1.1,1.1_Мы остались в городе.,"Жители остались в городе [на острове]. Он решил останься у сестры [дома, на вечере]. Солдат остался на посту. Багаж остался на вокзале. Дома оставались под водой.",Snom V {ADV / PRгде + Sx},1,НВ оставаться,Temporary_stay,ExactMatch,,
остаться,2,1,местонахождение,5800,остаться 2.1,2.1_Оставалось немного денег.,"Оставалось немного денег [два часа свободного времени]. Возмущение прошло, но обида осталась. Свободных мест не оставалось [не осталось]. Все осталось, как было.",Snom V,2,НВ оставаться,Possession,TooGeneral,,
остаться,3,1,местонахождение,5807,остаться 3.1,"3.1_Все ее родственники в войну были убиты, остался только брат.","Все ее родственники в войну были убиты, остался один брат [дядя, сын].",Snom V,3,НВ оставаться,Surviving,ExactMatch,,
остаться,4,1,местонахождение,5811,остаться 4.1,4.1_Остается проститься с вами.,"Остается проститься с вами. Оставалось получить деньги, и можно было ехать.",Vimpers Vinf,4,НВ оставаться,Departing,WeakMatch,Say_good_bye,
остаться,5,1,местонахождение,5813,остаться 5.1,5.1_Поэт остался неизвестным.,"Поэт остался неизвестным [непризнанным]. Он остался один. Преступник остался безнаказанным. Что бы ни случилось, я останусь самим собой. Он так и остался вдовцом [бедняком, безработным]. Ребенок остался сиротой.",Snom V {Ains / один / Sins / ADV},5,НВ оставаться,,,,
остаться,6,1,местонахождение,5818,остаться 6.1,"6.1_После развода они разделили имущество: машина осталась у него, а квартира - у нее.","После развода они разделили имущество: машина осталась у него, а квартира - у нее.",Snom V у + Sgen,6,НВ оставаться,Abandonment,ExactMatch,,
осуществить,1,1,начало существования,5830,осуществить 1.1,1.1_Он осуществил свое намерение.,"Он осуществил свое намерение [свои желания, свою мечту]. Мы осуществляем свои планы [свои идеи, принципы мирного сосуществования].",Snom V Sacc,1,НВ осуществлять,Execute_plan,ExactMatch,,
осуществить,2,1,начало существования,5831,осуществить 2.1,2.1_Рабочие осуществляют контроль за работой банков.,Рабочие осуществляют контроль за работой банков [руководство производством]. Институт осуществляет важные исследования в области полимеров [испытания новых видов каучука]. Правительство лейбористов осуществило национализацию железных дорог.,Snom V Sacc,2,НВ осуществлять,Conduct,ExactMatch,,
осуществить,3,1,начало существования,12507,осуществить 3.1,3.1_Он не осуществил себя [как писателя].,"Но он не осуществил себя как писателя, как художника, упрямо объявляя себя «журналистом», решив просвещать людей и менять мир, чтобы он мог стать счастливее.",Snom V себя [PR + Sx],3,НВ осуществлять,Becoming,ExactMatch,,
отдать,4,1,посессивный,5929,отдать 4.1,"4.1_Мой сын увлекся театром и отдает ему все свое время, Иван отдал науке много лет жизни.","Мой сын увлекся театром и отдает ему все свое время [всего себя], Иван отдал науке [дочери] много лет жизни [много труда].",Snom V Sacc Sdat,4,НВ отдавать,Giving,WeakMatch,Dedicate,
отдыхать,1,1,,5966,отдыхать 1.1,"1.1_Профессор отдыхает, не мешайте ему!","Профессор отдыхает, не мешайте ему!",Snom V,1,СВ отдохнуть,Rest,WeakMatch,Take_a_rest,
отдыхать,2,1,,5969,отдыхать 2.1,2.1_Когда вы будете отдыхать?,Когда вы будете отдыхать? Я в этом году еще не отдыхал.,Snom V,2. <разг.>,СВ отдохнуть,,,,
отказаться,1,1,,5978,отказаться 1.1,1.1_Я попросил его помочь - он решительно отказался.,Я попросил его помочь - он решительно [наотрез] отказался.,Snom V,1,НВ отказываться,Agree_or_refuse_to_act,ExactMatch,,
отказаться,2,1,,5981,отказаться 2.1,2.1_Дочь отказалась от наследства.,Дочь отказалась от наследства. Они не хотят отказываться от своих привилегий. Инженер отказался от предложенного места. Напрасно ты отказалась от подарка [от обеда] - он был предложен от чистого сердца.,Snom V от + Sgen,2,НВ отказываться,Respond_to_proposal,ExactMatch,,
отказаться,3,1,,5982,отказаться 3.1,3.1_Я не откажусь от своих слов.,"Я не откажусь от своих слов [от своих замыслов, от своего мнения]. Ты слишком легко отказываешься от своих намерений [от своих планов]. Он отказался от своей подписи [от мысли защитить диссертацию]. Вы чересчур легко отказываетесь от своих друзей [от родственников].",Snom V от + Sgen,3,НВ отказываться,Surrendering_possession,ExactMatch,,
открыть,1,1,физическое воздействие,5989,открыть 1.1,1.1_Весной в домах открывают все окна и форточки.,"Весной в домах открывают все окна и форточки. Он открыл чемодан [шкаф, тумбочку] и заглянул внутрь. Хозяйка открыла кастрюлю, и аппетитный запах свежих щей распространился по дому.",Snom V Sacc,1,НВ открывать,Closure,WeakMatch,open_the_object,
открыть,2,1,физическое воздействие,5993,открыть 2.1,2.1_Сумеешь открыть бутылку шампанского?,Сумеешь открыть бутылку шампанского?,Snom V Sacc,2,НВ открывать,,,,
открыть,3,1,физическое воздействие,5995,открыть 3.1,3.1_Она открывает книгу и начинает читать звонким голосом.,"Она открывает книгу [журнал] и начинает читать звонким голосом. Мальчик открыл глаза [рот] и зевнул. Снова стало накрапывать, и она открыла зонт. У него был маленький перочинный ножик, который он все время открывал и закрывал.",Snom V Sacc,3,НВ открывать,,,,
открыть,4,1,физическое воздействие,5996,открыть 4.1,4.1_Когда-нибудь откроют все границы.,Когда-нибудь откроют все границы. Семафор все не открывали.,Snom V Sacc,4,НВ открывать,Becoming_aware,ExactMatch,,
открыть,6,1,физическое воздействие,6001,открыть 6.1,"6.1_Рванув на себе рубаху и открыв грудь, он пошел прямо на штыки.","Рванув на себе рубаху и открыв грудь, он пошел прямо на штыки.",Snom V Sacc,6,НВ открывать,Undressing,ExactMatch,,
открыть,7,1,физическое воздействие,6002,открыть 7.1,7.1_Он не любит открывать свои желания.,Он не любит открывать свои желания [свои мысли].,Snom V Sacc,7,НВ открывать,Reveal_secret,ExactMatch,,
открыть,8,1,физическое воздействие,6006,открыть 8.1,8.1_Следствие открыло чудовищный заговор.,Следствие открыло чудовищный заговор [чудовищное преступление].,Snom V Sacc,8,НВ открывать,Evidence,TooGeneral,,
открыть,9,1,физическое воздействие,6007,открыть 9.1,9.1_Ученые открывают все новые законы природы.,"Ученые открывают все новые законы природы [новые созвездия, тайны материи]. Бесстрашные мореплаватели бороздили океаны, открывая новые земли, Я утверждаю, что я первым открыл этого замечательного поэта.",Snom V Sacc,9,НВ открывать,Becoming_aware,ExactMatch,,
открыть,11,1,физическое воздействие,6011,открыть 11.1,11.1_Председатель открывает заседание.,"Председатель открывает заседание [совещание, прения]. Фирма открыла торговлю колониальными товарами. Батарея открыла огонь.",Snom V Sacc,11,НВ открывать,Activity_start,ExactMatch,,
открыть,12,1,физическое воздействие,6012,открыть 12.1,12.1_Музей еще не открыли.,"Музей [театр, выставку, новую музыкальную школу] еще не открыли. Мемориальную доску открыл председатель местного совета.",Snom V Sacc,12,НВ открывать,Closure,WeakMatch,open_the_object,
открыть,13,1,физическое воздействие,18143,открыть 13.1,13.1_Редактор открыл новую рубрику,Редактор открыл новую рубрику,Snom открыть Sacc,,НВ открывать,Creating,ExactMatch,,
открыть,14,1,физическое воздействие,18175,открыть 14.1,14.1_Мы открыты для сотрудничества.,Мы открыты для сотрудничества.,Snom Vpass для + Sgen,,НВ открывать,Activity_start,ExactMatch,,
отличаться,1,1,,6035,отличаться 1.1,1.1_Костя отличается от всех своих сверстников.,Костя отличается от всех своих сверстников. Новая квартира отличается от старой.,Snom V от + Sgen,1,СВ нет,Differentiation,ExactMatch,,
отложить,1,1,,6041,отложить 1.1,1.1_Читатель отложил книгу и взялся за газету.,"Читатель отложил книгу [том стихов] и взялся за газету. Женщина перебирала яблоки, откладывая испорченные.",Snom V Sacc,1,НВ откладывать,Placing,ExactMatch,,
отложить,3,1,,6045,отложить 3.1,3.1_Не хочу откладывать поездку.,Не хочу откладывать поездку [встречу с ними].,Snom V Sacc,3,НВ откладывать,Holding_off_on,ExactMatch,,
отложить,4,1,,6048,отложить 4.1,4.1_Курица откладывает яйца.,Курица [утка] откладывает яйца. Слоновые черепахи откладывают яйца прямо в прибрежный песок.,Snom V Sacc,4,НВ откладывать,Giving_birth,ExactMatch,,
отложить,6,1,,17595,отложить 6.1,6.1_Библиотекарь отложила для меня 2 книги,Библиотекарь отложила для меня 2 книги,Snom V Sacc для + Sgen,6,НВ откладывать,Placing,TooGeneral,set_aside,
отложить,7,1,,17610,отложить 7.1,7.1_Она отложила локоть в сторону,Она отложила локоть в сторону.,Snom V Sacc {ADV / PRкуда + Sx},7. изменение положения тела,НВ откладывать,Placing,TooGeneral,put_aside,
отменить,1,1,,6051,отменить 1.1,1.1_После войны отменили карточную систему.,В социалистических странах народ отменил частную собственность. После войны отменили карточную систему. Верховный суд отменил смертный приговор. Командование отменило приказ. С 1-го по 30-е этого месяца отменили все отпуска. Закон о смертной казни был отменен.,Snom V Sacc,1,НВ отменять,Activity_stop,TooGeneral,refuse_from,
отменить,2,1,,6052,отменить 2.1,2.1_Спектакль отменили.,"Спектакль [урок, экзамен] отменили. Никто, кроме директора, не имеет права отменять занятия [заседание, собрание, концерт].",Snom V Sacc,2,НВ отменять,Intentionally_act,TooGeneral,cancel,
отозваться,1,1,речь,6084,отозваться 1.1,"1.1_Мы его окликали, но он не отзывался.","Мы его окликали, но он не отзывался.",Snom V,1. <ответить на зов>,НВ отзываться,Communication_response,ExactMatch,,
отозваться,2,1,речь,6087,отозваться 2.1,2.1_Профсоюз отзывается на справедливые требования трудящихся.,Профсоюз [дирекция] отзывается на справедливые требования трудящихся. Вы до сих пор никак не отозвались на мою просьбу. Правление должно отзываться на нужды жильцов.,Snom V на + Sacc,2,НВ отзываться,Resolve_problem,ExactMatch,,
отозваться,5,1,речь,6090,отозваться 5.1,5.1_Критика хорошо отозвалась о новой книге автора.,Критика хорошо [сочувственно] отозвалась о новой книге автора [о спектакле]. Профессор с одобрением [без всякого энтузиазма] отозвался о работе своего аспиранта.,Snom V о + Sloc {ADV / PR + Sx},5,НВ отзываться,Assessing,ExactMatch,,
оторваться,1,1,,6127,оторваться 1.1,1.1_Пуговица оторвалась.,Пуговица оторвалась. Рукав почти совсем оторвался.,Snom V,1,НВ отрываться,Successful_action,ExactMatch,,
оторваться,2,1,,6129,оторваться 2.1,"2.1_Прыгун скользнул вниз по трамплину, оторвался и, казалось, лег грудью на воздух.","Прыгун скользнул вниз по трамплину, оторвался и, казалось, лег грудью на воздух.",Snom V,2,НВ отрываться,,,,
оторваться,3,1,,6131,оторваться 3.1,3.1_Он оторвался от товарищей по университету.,"Он оторвался от товарищей по университету [от земли, от хозяйства]. Партия не должна отрываться от масс. Вы совершенно оторвались от жизни.",Snom V от + Sgen,3,НВ отрываться,Improvement_or_decline,ExactMatch,,
оторваться,4,1,,6132,оторваться 4.1,4.1_Я ни на минуту не могу оторваться от работы.,"Я ни на минуту не могу оторваться от работы [от чтения]. Мальчик был так захвачен, что совершенно не мог оторваться от книги.",Snom V от + Sgen,4,НВ отрываться,Activity_stop,ExactMatch,,
оторваться,5,1,,6133,оторваться 5.1,5.1_Взводу удалось оторваться от противника.,Взводу удалось оторваться от противника. Его конь оторвался от коня соперника.,Snom V от + Sgen,5,НВ отрываться,Intentionally_act,ExactMatch,,
оторваться,6,1,,17707,оторваться 6.1,"6.1_Наконец, она оторвалась","Они стояли обнявшись, наконец, она оторвалась, опустошенная, потрясенная",Snom _V_,,НВ отрываться,,,,
отразить,1,1,,6174,отразить 1.1,1.1_Севастопольцы отразили и эту атаку врага.,Севастопольцы отразили и эту атаку врага. Он отражает удар [яростное нападение противника]. Защитники крепости отразили второй натиск врага. Первый штурм города был отражен.,Snom V Sacc,1,НВ отражать,Beat_opponent,ExactMatch,,
отразить,2,1,,6175,отразить 2.1,"2.1_Снег отражает лучи света, а черная поверхность скалы поглощает их.","Снег отражает лучи света, а черная поверхность скалы поглощает их. Стены ущелья отражают звуки [отразили его крик].",Snom V Sacc,2,НВ отражать,Objective_influence,TooGeneral,reflect,
отразить,4,1,,6179,отразить 4.1,4.1_Вода отражает звезды.,Вода отражает звезды. Река отражает облака. Зеркало отразило уставшее лицо с синими кругами под глазами.,Snom V Sacc,4,НВ отражать,Cause_to_perceive,WeakMatch,,"VerbNet: relect-v.4 'send back, show a mirror image, echo, cast light or image back'; mirror-v.1 "
отразить,5,1,,6180,отразить 5.1,5.1_Искусство отражает жизнь.,Искусство отражает жизнь. Эта книга отражает эволюцию взглядов художника на события революции 1905 года.,Snom V Sacc,5,НВ отражать,,,,
отразить,6,1,,6181,отразить 6.1,6.1_Писатели-шестидесятники правдиво отразили жизнь России той эпохи.,Писатели-шестидесятники правдиво отразили жизнь России той эпохи [идеи и стремления разночинной интеллигенции]. Руководители должны отражать интересы [требования] народных масс.,Snom V Sacc,6,НВ отражать,,,,
отразить,10,1,,17731,отразить 10.1,10.1_Факт кражи отражен в акте,Факт кражи отражен в акте. Итоги работы отражены в отчете. Не все находки отражены в каталоге.,Snom _V_ Sacc в + Sloc,,НВ отражать,Statement,ExactMatch,,
отрезать,1,1,физическое воздействие,6187,отрезать 1.1,1.1_Отец отрезал кусок хлеба.,"Отец отрезал кусок хлеба [кусок сала]. Отрежь, пожалуйста, сыру [колбасы, хлеба, мяса].",Snom V {Sacc / Spart},1,НВ отрезать,Cutting,ExactMatch,,
отрезать,2,1,физическое воздействие,17463,отрезать 2.1,2.1_Хирурги отрезали ногу,"Ничего не помогало, и хирурги ногу отрезали.",Snom V Sacc,2. медицина,НВ отрезать,,,,
отрезать,3,1,физическое воздействие,6192,отрезать 3.1,3.1_Прорвавшийся клином батальон противника отрезал наш полк.,Прорвавшийся клином батальон противника отрезал наш полк.,Snom V Sacc,3,НВ отрезать,Separating,ExactMatch,,
отрезать,6,1,физическое воздействие,6200,отрезать 6.1,6.1_«И слышать не хочу!» - отрезала хозяйка.,"«И слышать об этом не хочу!» - отрезала хозяйка. «У нас нет на это средств», - отрезал Королев, не дослушав докладчика.",Snom V «CL»,6. (разг.),НВ отрезать,Statement,ExactMatch,,
отрезать,8,1,физическое воздействие,17465,отрезать 8.1,8.1_Шум отрезало тишиной.,"Это продолжалось несколько секунд, после чего шум отрезало тишиной.",Sins _Vimpers_ Sacc,8,НВ отрезать,Process_stop,ExactMatch,,
отрезать,9,1,физическое воздействие,17473,отрезать 9.1,"9.1_Я отрезал часть фильма, оставив лишь финал","Я отрезал часть фильма (первые периоды матча, часть файлов), оставив лишь финал",Snom V Sacc,9,НВ отрезать,,,,
отрицать,2,1,,6203,отрицать 2.1,2.1_Эти философы отрицали крепостное право.,"Эти философы отрицали крепостное право. Есть люди, которые отрицают общественные науки [искусство, любовь с первого взгляда].",Snom V Sacc,2,СВ нет,Affirm_or_deny,ExactMatch,,
отсутствовать,1,1,,6241,отсутствовать 1.1,1.1_Кто сегодня отсутствует?,Кто сегодня отсутствует? - спросил учитель.,Snom V,1,СВ нет,Temporary_leave,ExactMatch,,
отсутствовать,2,1,,6244,отсутствовать 2.1,2.1_Средства отсутствуют.,Средства отсутствуют. У него отсутствует аппетит [чувство долга]. У этого руководителя отсутствует чувство реальности.,Snom V,2,СВ нет,Temporary_leave,TooGeneral,not_available,
оформить,1,1,,6258,оформить 1.1,1.1_Витрины демонстрационного зала оформляют художники.,Витрины демонстрационного зала оформляют художники. Вы хорошо оформили эту стенгазету. В издательстве «Наука» прекрасно оформляют книги. Автору надо еще оформить свою рукопись.,Snom V Sacc,1,НВ оформлять,Abounding_with,TooGeneral,decorate,
оформить,2,1,,6259,оформить 2.1,2.1_Адвокаты оформили договор.,"Представители двух фирм уже оформили договор [соглашение] о взаимных поставках. Ему оформили командировочное удостоверение [отпускные документы]. Он оформил, наконец, совместительство.",Snom V Sacc,2,НВ оформлять,Sign_agreement,ExactMatch,,
оформить,4,1,,18760,оформить 4.1,"4.1_Остается оформить грядку, придать ей форму овала.","Остается оформить грядку, придать ей форму овала.",Snom V Sacc,4,НВ оформлять,Cause_change,ExactMatch,,
охватить,4,1,,6267,охватить 4.1,"4.1_С горы открывались пространства, которые нельзя было охватить взглядом.","С горы открывались пространства, которые нельзя было охватить взглядом [глазами].",Snom V Sacc Sins,4,НВ охватывать,Perception_experience,TooGeneral,full_view,
охватить,5,1,,6268,охватить 5.1,5.1_Его доклад охватывает эпоху от конца царствования Ивана Грозного до начала смутного времени.,"Его доклад [книга, исследование] охватывает эпоху от конца царствования Ивана Грозного до начала смутного времени.",Snom V Sacc,5,НВ охватывать,Eclipse,TooGeneral,cover_time,
охватить,7,1,,6270,охватить 7.1,7.1_Забастовка охватила всю Россию.,Забастовка охватила всю Россию. Процесс деколонизации охватил всю Центральную Африку.,Snom V Sacc,7,НВ охватывать,Eclipse,ExactMatch,,
охватить,8,1,,6271,охватить 8.1,8.1_Пламя охватило всю квартиру.,Пламя охватило всю квартиру. Сырость [ночная мгла] охватывает нас. Свежий ночной воздух охватил их разгоряченные тела. Нас охватило гробовое молчание [охватила тишина].,Snom V Sacc,8,НВ охватывать,,,,
охватить,9,1,,6272,охватить 9.1,9.1_Его охватил ужас.,"Его охватил ужас [страх]. Непривычное чувство охватывает мальчика, Любовь [ненависть] охватила его душу [его сердце]. Дремота охватила ребенка.",Snom V Sacc,9,НВ охватывать,Taking,TooGeneral,seize_with,
